id,mahalle,fiyat,brut,net,kat,bina_kat,banyo_sayi,isitma,oda_sayisi,site_ici,tarih,bina_yasi,balkon,asansor,cephe_K,cephe_B,cephe_D,cephe_G,deniz_man,nizam,longitude,latitude
1246,guvenevler,449000,140,130,8,10,1,1,2,0,2021/10/01,9,0,0,0,0,1,0,1,0,34.590,36.787
1247,guvenevler,345000,125,124,3,4,1,0,2,1,2021/09/09,8,0,1,0,0,0,1,1,0,34.591,36.787
1248,guvenevler,1098000,190,178,4,12,2,1,2,0,2021/09/06,7,0,0,0,0,1,0,1,0,34.592,36.789
1249,guvenevler,875000,190,150,8,12,2,0,2,0,2021/09/21,7,0,0,0,0,1,0,1,0,34.592,36.789
1250,guvenevler,300000,140,120,4,4,1,0,2,1,2021/09/05,10,0,1,0,1,0,0,1,0,34.593,36.787
1251,guvenevler,450000,115,105,1,5,2,1,1,1,2021/09/09,0,0,0,0,0,0,0,1,0,34.593,36.787
1252,guvenevler,232000,130,110,4,4,1,0,2,1,2021/09/20,10,0,1,0,0,1,0,1,0,34.594,36.787
1253,guvenevler,920000,330,300,6,11,2,1,3,1,2021/09/15,8,0,0,0,0,0,0,1,0,34.594,36.787
1254,guvenevler,510000,160,140,7,7,1,1,2,1,2021/09/18,9,0,0,0,1,0,0,1,0,34.595,36.787
1255,guvenevler,390000,165,140,3,4,1,1,3,1,2021/09/06,11,0,1,0,0,1,0,1,0,34.591,36.782
1256,guvenevler,945000,240,185,3,12,2,1,3,0,2021/09/30,7,0,0,0,0,0,0,1,0,34.589,36.787
1257,guvenevler,465000,165,140,3,10,1,1,2,0,2021/09/30,7,0,0,0,1,0,0,1,0,34.589,36.787
1258,guvenevler,875000,205,185,3,14,2,0,2,0,2021/09/15,8,0,0,0,1,0,0,1,0,34.590,36.785
1259,guvenevler,215000,110,100,0,4,1,0,1,1,2021/09/16,10,0,1,0,0,1,1,1,0,34.596,36.784
1260,guvenevler,295000,110,90,1,4,1,0,1,1,2021/09/27,8,0,1,1,1,0,0,1,0,34.595,36.784
1261,guvenevler,620000,280,250,1,4,1,0,4,1,2021/09/02,10,0,1,0,1,0,0,1,0,34.595,36.784
1262,guvenevler,315000,125,120,1,4,1,0,1,1,2021/09/14,10,0,1,1,1,0,0,1,0,34.594,36.784
1263,guvenevler,295000,125,110,1,4,1,1,1,1,2021/09/29,9,0,1,0,1,1,0,1,1,34.594,36.784
1264,guvenevler,290000,170,145,3,4,1,0,2,1,2021/09/11,10,0,1,0,0,1,0,1,1,34.593,36.783
1265,guvenevler,495000,180,179,4,9,1,0,2,0,2021/09/28,10,0,1,1,0,0,0,1,0,34.588,36.784
1266,guvenevler,595000,145,130,2,4,1,1,2,1,2021/09/11,9,0,1,0,1,1,0,1,0,34.588,36.783
